externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB244270726,2026-07-27 21:39:00+00:00,False,Boston Celtics,Oklahoma City Thunder,TAAPZ,MARINE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,55.0,60.0,1839.2181376998021,1571.5319930151466,267.6861446846556,0.8235991986607454
NB246270726,2026-07-27 21:47:00+00:00,False,Oklahoma City Thunder,Los Angeles Lakers,EQUALIZER,COMMANDER,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,52.0,47.0,1494.6867838127205,1536.1330395839807,-41.44625577126021,0.4406353738253344
NB247270726,2026-07-27 21:51:00+00:00,False,Dallas Mavericks,Charlotte Hornets,GRAVITY,GENERAL,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,52.0,41.0,1507.3622040738107,1485.3206450381126,22.04155903569813,0.5316778664720069
NB248270726,2026-07-27 21:55:00+00:00,False,Orlando Magic,Charlotte Hornets,RAPTOR,ADMIRAL,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,60.0,50.0,1481.7899106834693,1486.4805189523042,-4.6906082688349215,0.4932500821693096
NB249270726,2026-07-27 21:59:00+00:00,False,Cleveland Cavaliers,Memphis Grizzlies,BLADE,CLAW,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,58.0,45.0,1542.331436690426,1469.1755341900491,73.1559025003769,0.6037510398695006
NB250270726,2026-07-27 22:11:00+00:00,False,New York Knicks,Los Angeles Lakers,BULLSEYE,KARMA,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,68.0,52.0,1615.907303423141,1459.1525389483713,156.75476447476967,0.7114327964863353
NB251270726,2026-07-27 22:15:00+00:00,False,Miami Heat,Toronto Raptors,BABYLON,SPARKZ,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,47.0,62.0,1458.6159989143646,1457.7049802256922,0.9110186886723568,0.5013110582777476
NB252270726,2026-07-27 22:19:00+00:00,False,Brooklyn Nets,Chicago Bulls,DAGGER,STING,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,52.0,41.0,1571.4568263390972,1472.496703188383,98.96012315071425,0.6386847784338519
NB253270726,2026-07-27 22:23:00+00:00,False,Cleveland Cavaliers,Milwaukee Bucks,RADIANT,JUGGERNAUT,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,59.0,60.0,1479.85758018465,1562.6319066931947,-82.77432650854462,0.38308193446667
NB254270726,2026-07-27 22:27:00+00:00,False,Los Angeles Lakers,Oklahoma City Thunder,PATIENCE,DOMAIN,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,61.0,62.0,1499.8785700408077,1561.3327322026112,-61.454162161803424,0.41247126947787305
NB255270726,2026-07-27 22:31:00+00:00,False,New York Knicks,Oklahoma City Thunder,KOBOLD,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,59.0,51.0,1523.8198612589767,1488.3650644621387,35.45479679683808,0.5508471756005878
NB257270726,2026-07-27 22:47:00+00:00,False,Brooklyn Nets,Toronto Raptors,CYPHER,SPARKZ,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,34.0,48.0,1477.8527422485229,1470.0231807017328,7.829561546790046,0.5112657378171224
NB258270726,2026-07-27 22:51:00+00:00,False,Oklahoma City Thunder,New York Knicks,EQUALIZER,STING,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,44.0,41.0,1503.569161534892,1464.5396755406039,39.02948599428805,0.5559328642578452
NB259270726,2026-07-27 22:55:00+00:00,False,Dallas Mavericks,Denver Nuggets,GRAVITY,JUGGERNAUT,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,54.0,65.0,1517.6757805359277,1567.2288899067946,-49.55310937086688,0.42916698764940153
NB260270726,2026-07-27 22:59:00+00:00,False,Orlando Magic,Denver Nuggets,RAPTOR,DOMAIN,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,64.0,56.0,1492.5589863701396,1566.2823874363457,-73.72340106620618,0.39546769411108135
NB261270726,2026-07-27 23:03:00+00:00,False,Cleveland Cavaliers,Phoenix Suns,BLADE,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,63.0,57.0,1551.599126533037,1479.6187897496652,71.98033678337174,0.6021309765058246
NB262270726,2026-07-27 23:15:00+00:00,False,New York Knicks,Oklahoma City Thunder,BULLSEYE,MARINE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,51.0,52.0,1623.1530106229777,1584.6102586613158,38.54275196166191,0.5552410553103593
